query_id,doc_id
1,005b2j4b
1,0chuwvg6
1,0t2a5500
1,0y34yxlb
1,105q161g
1,11edrkav
1,1abp6oom
1,1mjaycee
1,1sq2uvur
1,22fc1qly
1,23yi8so0
1,24yavi1w
1,25va2cvt
1,262bcl7h
1,2l4xxu3v
2,01goni72
2,03s9spbi
2,04awj06g
2,04rbtmmi
2,0oma7hdu
2,0pujch9v
2,0vlzwksu
2,0y62eqdx
2,11pcdnlw
2,147yc66p
2,15slu3kk
2,1bxt21za
2,1dq91x2r
2,1k3d3o2q
2,1llox90t
3,01q4pu9k
3,033phqmd
3,05djnz4p
3,0a8sz7zb
3,1m6poddy
3,1udn20wo
3,2d04geu3
3,2fknxsf1
3,2jeb1vcs
3,2o3dvi2d
3,380az9lp
3,3zmq7nd5
3,4832h1ht
3,4e2j89uy
3,4ywrzyse
4,0udqwhx8
4,0xqhm8a0
4,0y2kq6zg
4,1qk77fqo
4,1zezzai5
4,223v2obv
4,2530zdeq
4,2b9udaic
4,2boqg3tz
4,2cvpzlu1
4,2xcit185
4,3trr8d0u
4,4bio5jp5
4,4giwnrbw
4,4ishl6bj
5,02n30zc5
5,047xpt2c
5,076qek8o
5,08zf7161
5,0dbuo39v
5,0fitbwuv
5,0slywdik
5,18yzwa2g
5,1a6guo10
5,1a75s5l0
5,1cc9ig04
5,1iio41wn
5,1jeat383
5,1k5h662u
5,1mmqfp7g
6,04pp0o74
6,05tszdt7
6,05zmldvj
6,06vc2y9y
6,0bbzo9cp
6,0k6oqklv
6,0nq62oao
6,0tdfvlqd
6,0u7j42i2
6,16crg3k8
6,1a6d8urj
6,1aknmk3h
6,1cew6vn5
6,1d0i10o7
6,1ei79lna
7,01mo6yo9
7,07qsm5pv
7,0beno5o5
7,0dgmfeak
7,0e0sttvw
7,0hie9nw7
7,0k5j5h7p
7,0oak9ggm
7,0te5ybjv
7,0w7tq79d
7,15rcq4sh
7,17q4g88y
7,1dbeh8q7
7,1huoe4dp
7,1s0exznp
8,0bm3bimr
8,0d6o5w8z
8,0gikppdh
8,0klg8yvs
8,0l4pec0z
8,0v5wo0ty
8,0x4332i8
8,0xa2njzy
8,17oac3bg
8,1b3pigtl
8,1bhv9snq
8,1jf2zz5q
8,1mfize6h
8,1rcsqyff
8,1ym07y0w
9,0gxxuyln
9,14w3ygss
9,1da6ackj
9,1mxgmhik
9,344hgezd
9,3mmo1x2n
9,4dnzjeyp
9,4rutnzbu
9,5bdoz5am
